Concurso,Fecha,Local,Visitante,Resultado,Match text
2275,4/4/2025 21:00,Tijuana,Necaxa,V,"Fecha: 4/4 21:00, Partido: Tijuana vs Necaxa"
2275,4/5/2025 8:00,Crystal Palace,Brighton,L,"Fecha: 4/5 8:00, Partido: Crystal Palace vs Brighton"
2275,4/5/2025 8:30,AZ Alkmaar,Feyenoord,V,"Fecha: 4/5 8:30, Partido: AZ Alkmaar vs Feyenoord"
2275,4/5/2025 8:30,Lokomotiv,Zenit,E,"Fecha: 4/5 8:30, Partido: Lokomotiv vs Zenit"
2275,4/5/2025 17:00,Pachuca,América,L,"Fecha: 4/5 17:00, Partido: Pachuca vs América"
2275,4/5/2025 19:05,Monterrey,Guadalajara,L,"Fecha: 4/5 19:05, Partido: Monterrey vs Guadalajara"
2275,4/5/2025 21:10,Cruz Azul,Pumas,L,"Fecha: 4/5 21:10, Partido: Cruz Azul vs Pumas"
2275,4/6/2025 7:00,Empoli,Cagliari,E,"Fecha: 4/6 7:00, Partido: Empoli vs Cagliari"
2275,4/6/2025 9:30,Man Utd,Man City,E,"Fecha: 4/6 9:30, Partido: Man Utd vs Man City"
2275,4/6/2025 9:30,Union Berlin,Wolfsburgo,L,"Fecha: 4/6 9:30, Partido: Union Berlin vs Wolfsburgo"
2275,4/6/2025 12:45,Roma,Juventus,E,"Fecha: 4/6 12:45, Partido: Roma vs Juventus"
2275,4/6/2025 13:00,Villarreal,Athletic,E,"Fecha: 4/6 13:00, Partido: Villarreal vs Athletic"
2275,4/6/2025 13:30,Porto,Benfica,V,"Fecha: 4/6 13:30, Partido: Porto vs Benfica"
2275,4/7/2025 9:00,Atromitos,Asteras,V,"Fecha: 4/7 9:00, Partido: Atromitos vs Asteras"
2276,4/11/2025 21:05,Mazatlan,Guadalajara,V,"Fecha: 4/11 21:05, Partido: Mazatlan vs Guadalajara"
2276,4/12/2025 7:30,H. Kiel,St Pauli,L,"Fecha: 4/12 7:30, Partido: H. Kiel vs St Pauli"
2276,4/12/2025 13:05,Estrasburgo,Niza,V,"Fecha: 4/12 13:05, Partido: Estrasburgo vs Niza"
2276,4/12/2025 19:00,Tigres,Monterrey,E,"Fecha: 4/12 19:00, Partido: Tigres vs Monterrey"
2276,4/12/2025 19:06,Celaya,U de G,L,"Fecha: 4/12 19:06, Partido: Celaya vs U de G"
2276,4/12/2025 21:15,America,Cruz Azul,L,"Fecha: 4/12 21:15, Partido: America vs Cruz Azul"
2276,4/13/2025 7:00,Verona,Genoa,L,"Fecha: 4/13 7:00, Partido: Verona vs Genoa"
2276,4/13/2025 12:30,Gimnasia,Estudiantes,E,"Fecha: 4/13 12:30, Partido: Gimnasia vs Estudiantes"
2276,4/13/2025 12:45,Lazio,Roma,E,"Fecha: 4/13 12:45, Partido: Lazio vs Roma"
2276,4/13/2025 14:30,Chicago,Miami,L,"Fecha: 4/13 14:30, Partido: Chicago vs Miami"
2276,4/13/2025 14:30,Gremio,Flamengo,E,"Fecha: 4/13 14:30, Partido: Gremio vs Flamengo"
2276,4/13/2025 17:00,Santos,Queretaro,E,"Fecha: 4/13 17:00, Partido: Santos vs Queretaro"
2276,4/13/2025 17:00,Millonarios,A Nacional,V,"Fecha: 4/13 17:00, Partido: Millonarios vs A Nacional"
2276,4/13/2025 19:00,Pachuca Fem,GDL Fem,V,"Fecha: 4/13 19:00, Partido: Pachuca Fem vs GDL Fem"
2277,4/19/2025 7:00,Lecce,Como,V,"Fecha: 4/19 7:00, Partido: Lecce vs Como"
2277,4/19/2025 8:00,Brentford,Brighton,L,"Fecha: 4/19 8:00, Partido: Brentford vs Brighton"
2277,4/19/2025 10:30,Aston Villa,Newcastle,L,"Fecha: 4/19 10:30, Partido: Aston Villa vs Newcastle"
2277,4/19/2025 10:30,Union Berlin,Stuttgart,E,"Fecha: 4/19 10:30, Partido: Union Berlin vs Stuttgart"
